station_id,station_name,lat,lon,has_predictions,tidal_range,max_level,min_level,range_size
9455920,"Anchorage, AK                                                     ",61.238,-149.890,1,38.048,39.905,1.857,XL
9452141,"ANNEX CREEK ENTRANCE,                                             ",58.317,-134.100,0,,,,
9454794,"Applegate Island,                                                 ",60.623,-148.165,0,,,,
9461710,"Atka,                                                             ",52.232,-174.173,1,6.127,31.556,25.429,S
9454755,"Bainbridge Point,                                                 ",60.197,-148.042,0,,,,
9451625,"Baranof, Warm Spring Bay,                                         ",57.088,-134.825,1,21.127,22.104,0.977,L
9452318,"Barlow Cove,                                                      ",58.322,-134.878,0,,,,
9494935,"Barrow Offshore,                                                  ",71.360,-156.730,1,1.708,148.728,147.02,S
9499176,"Barter Island, AK                                                 ",70.129,-143.611,1,0.846,2.822,1.976,S
9455128,"BEAR COVE, AIALIK PENINSULA, KENAI PENIN,                         ",59.802,-149.615,0,,,,
9455595,"Bear Cove, Kachemak Bay,                                          ",59.725,-151.023,1,29.839,10.296,-19.543,XL
9450906,"BECK ISLAND, CLARENCE STRAIT,                                     ",56.047,-132.862,0,,,,
9451287,"Beecher Pass,                                                     ",56.595,-132.987,1,23.704,14.608,-9.096,XL
9466477,"Bethel, Kuskokwim River, AK, AK                                   ",60.800,-161.750,1,5.34,8.752,3.412,S
9450623,"Big Salt Lake,                                                    ",55.600,-132.950,0,,,,
9462645,"Biorka Village, Biverly Inlet,                                    ",53.829,-166.216,1,8.053,8.3,0.247,M
9459251,"Bird Island, Shumagin Bank, AK                                    ",54.835,-159.760,1,11.511,10.391,-1.12,M
9465182,"BLACK ROCK, WALRUS IS BRISTOL B,                                  ",58.708,-160.188,0,,,,
9454907,"BLACKSTONE BAY, PR. WILLIAM SOUND,                                ",60.765,-148.523,0,,,,
9450973,"Blashke Island,                                                   ",56.127,-132.895,0,,,,
9454381,"BLIGH ISLAND, T-16,                                               ",60.807,-146.798,0,,,,
9454818,"BLUE FjORD, PORT NELLIE JUAN,                                     ",60.492,-148.242,0,,,,
9452378,"Boat Harbor,                                                      ",58.628,-135.165,0,,,,
9455777,"BOULDER POINT, AK                                                 ",60.777,-151.245,0,,,,
9451012,"Bradfield Canal, AK                                               ",56.183,-131.572,1,25.298,15.663,-9.635,XL
9462676,"Broad Bight, AK                                                   ",54.065,-165.937,1,8.868,17.487,8.619,M
9450949,"BURNETTE INLET, ETOLIN ISLAND,                                    ",56.073,-132.478,0,,,,
9450914,"Burrough Bay, Behm Canal,                                         ",56.038,-131.095,1,24.467,13.87,-10.597,XL
9454374,"Busby Island,                                                     ",60.898,-146.782,0,,,,
9451074,"BUSHY ISLAND, SNOW PASSAGE,                                       ",56.277,-132.985,1,22.681,13.18,-9.501,XL
9455151,"CAMP COVE, HARRIS PENNINSULA,                                     ",59.693,-149.748,1,16.953,19.694,2.741,L
9451781,"CANNERY COVE, PYBUS BAY,                                          ",57.307,-134.133,0,,,,
9462941,"Cape Chunak, AK, AK                                               ",55.064,-163.534,1,11.565,144.924,133.359,M
9464961,"CAPE CONSTANTINE, NUSHAGAK PENINSULA,                             ",58.522,-159.152,1,17.604,16.225,-1.379,L
9465988,"Cape Corwin GPS Tide Buoy, AK                                     ",60.005,-165.591,0,,,,
9490096,"Cape Espenberg, Kotzebue Sound, AK                                ",66.586,-164.251,1,1.427,154.032,152.605,S
9454329,"Cape Hichinbrook,                                                 ",60.238,-146.648,0,,,,
9455711,"Cape Kasilof,                                                     ",60.337,-151.380,1,32.222,18.363,-13.859,XL
9490571,"Cape Krusenstern, AK                                              ",67.054,-163.321,1,0.783,40.687,39.904,S
9465137,"CAPE PEIRCE, WEST SIDE,                                           ",58.627,-161.837,0,,,,
9462787,"Cape Sarichef, Unimak Island,                                     ",54.600,-164.928,1,7.504,9.682,2.178,S
9465601,"Carter Bay, Kuskokwim Bay, AK                                     ",59.378,-162.029,1,14.988,25.461,10.473,L
9458907,"Castle Bay,                                                       ",56.232,-158.347,1,14.154,34.193,20.039,M
9458849,"Chankliut Island,                                                 ",56.147,-158.107,0,,,,
9454777,"CHENEGA ISLAND (S.W. END),                                        ",60.283,-148.113,0,,,,
9458945,"CHIGNIK LAGOON MAIN CHANNEL,                                      ",56.323,-158.515,0,,,,
9458917,"CHIGNIK, ANCHORAGE BAY,                                           ",56.297,-158.400,0,,,,
9452421,"CHILKAT INLET,                                                    ",59.170,-135.400,1,24.62,14.917,-9.703,XL
9455735,"CHINULNA POINT, COOK INLET,                                       ",60.503,-151.283,1,32.111,20.525,-11.586,XL
9458293,"Chirikof Island, AK                                               ",55.808,-155.740,1,13.344,133.165,119.821,M
9458519,"Chowiet island,                                                   ",56.052,-156.698,1,13.942,17.601,3.659,M
9465261,"CLARKS POINT, NUSHAGAK BAY,                                       ",58.848,-158.552,1,27.901,30.496,2.595,XL
9455558,"COAL POINT,                                                       ",59.601,-151.411,1,29.479,25.965,-3.514,XL
9454851,"COCHRANE BAY, PR. WILLIAM SOUND,                                  ",60.663,-148.357,0,,,,
9459949,"Cold Bay, AK                                                      ",55.208,-162.698,1,11.869,10.198,-1.671,M
9454460,"Columbia Glacier,                                                 ",61.023,-147.085,0,,,,
9452682,"Composite Island, Glacier Bay,                                    ",58.888,-136.573,0,,,,
9454050,"Cordova, AK                                                       ",60.558,-145.755,1,19.581,22.318,2.737,L
9451335,"COSMOS POINT,                                                     ",56.663,-132.617,0,,,,
9452346,"Cove Point, AK                                                    ",58.752,-135.028,0,,,,
9450551,"CRAIG,                                                            ",55.488,-133.142,1,15.262,17.791,2.529,L
9455159,"CRATER BAY, HARRIS BAY,                                           ",59.713,-149.787,1,17.026,20.458,3.432,L
9452082,"CRIB POINT, PORT SNETTISHAM, STEPHENS PA,                         ",58.097,-133.742,0,,,,
9450296,"Custom House Cove, Mary Island,                                   ",55.100,-131.217,1,22.993,15.344,-7.649,XL
9466931,"Dall Point, AK                                                    ",61.532,-166.148,1,7.172,47.228,40.056,S
9469751,"Deering, AK                                                       ",66.097,-162.740,1,2.606,18.501,15.895,S
9453196,"DISENCHANTMENT BAY,                                               ",60.047,-139.555,0,,,,
9459758,"Dolgoi Harbor, Dolgoi Island,                                     ",55.122,-161.792,1,10.607,28.734,18.127,M
9451376,"Dorothy Cove,                                                     ",56.722,-135.075,0,,,,
9457393,"Dovolno Point, Kizhuyak Bay,                                      ",57.739,-152.875,0,,,,
9450998,"Dry Pass, EL Capitan Passage,                                     ",56.163,-133.413,1,18.34,19.355,1.015,L
9450286,"Dunbar Inlet GPS Tide Buoy, AK                                    ",55.088,-132.816,0,,,,
9466012,"Eastern Nunivak Island, AK                                        ",60.043,-165.681,0,,,,
9450997,"EL Capitan Passage,                                               ",56.163,-133.330,1,17.44,18.409,0.969,L
9452635,"ELFIN COVE, PORT ALTHORP (BACKUP),                                ",58.193,-136.343,0,,,,
9452634,"Elfin Cove,                                                       ",58.195,-136.347,1,16.93,23.466,6.536,L
9468863,"ELIM, NORTON BAY,                                                 ",64.617,-162.248,0,,,,
9451706,"ELIZA HARBOR, FREDERICK SOUND,                                    ",57.188,-134.287,0,,,,
9451438,"Entrance Island,                                                  ",56.812,-133.787,1,21.65,14.521,-7.129,L
9450251,"Entrance to Windy Cove, AK                                        ",55.035,-133.024,0,,,,
9454757,"ESHAMY LAGOON, KNIGHT ISLAND PASSAGE, AK                          ",60.462,-148.045,0,,,,
9452437,"EXCURSION INLET (SOUTH END),                                      ",58.417,-135.447,0,,,,
9452328,"False Bay, Chatham Strait,                                        ",57.967,-134.935,1,23.158,19.426,-3.732,XL
9462955,"False Pass, Unimak Island,                                        ",54.858,-163.407,1,7.165,8.111,0.946,S
9455914,"FIRE ISLAND (BACKUP),                                             ",61.173,-150.205,0,,,,
9455912,"Fire Island, Cook Inlet, AK                                       ",61.173,-150.213,1,38.659,36.624,-2.035,XL
9498381,"FLAXMAN ISLAND, ARCTIC, AK                                        ",70.185,-146.050,0,,,,
9452321,"FUNTER, MANSFIELD PENINSULA,                                      ",58.255,-134.895,0,,,,
9457726,"Geese Island GPS Tide Buoy, AK                                    ",56.595,-153.996,0,,,,
9451421,"Golf Island,                                                      ",56.787,-135.393,1,14.576,12.549,-2.027,M
9469833,"Goodhope Bay,                                                     ",66.230,-163.904,1,2.551,39.255,36.704,S
9455963,"Goose Creek, Cook Inlet, AK                                       ",61.393,-149.847,1,43.916,10.265,-33.651,XL
9454807,"GRANITE MINE (BACKUP),                                            ",60.950,-148.212,0,,,,
9454806,"GRANITE MINE,                                                     ",60.950,-148.212,0,,,,
9454153,"GRAVINA RIVER,                                                    ",60.768,-146.078,0,,,,
9462705,"Green Bight, AK                                                   ",54.110,-165.661,1,8.351,140.58,132.229,M
9454751,"Guguak,                                                           ",60.100,-148.038,1,18.608,14.773,-3.835,L
9454824,"HARRIMAN FIORD,                                                   ",61.035,-148.313,0,,,,
9452294,"Hawk Inlet,                                                       ",58.085,-134.777,1,23.01,15.784,-7.226,XL
9452292,"HAWK INLET,                                                       ",58.127,-134.758,0,,,,
9466153,"Helmick Point,                                                    ",60.270,-162.410,1,13.628,33.3,19.672,M
9459163,"Herendeen Island, Shumagin Islands,                               ",55.066,-159.419,1,12.014,7.606,-4.408,M
9451634,"HERRING BAY, FREDERICK SOUND,                                     ",57.113,-134.380,0,,,,
9454691,"HERRING POINT, KNIGHT ISLAND, PR WIL SND,                         ",60.475,-147.792,1,18.672,16.909,-1.763,L
9465173,"HIGH ISLAND, BRISTOL BAY,                                         ",58.722,-160.427,0,,,,
9452067,"HOLKHAM BAY, STEPHENS PASSAGE,                                    ",57.760,-133.603,0,,,,
9450544,"Hollis Anchorage, Kasaan Bay,                                     ",55.480,-132.645,0,,,,
9455557,"HOMER,                                                            ",59.603,-151.420,0,,,,
9452438,"Hoonah, Port Fredrick, AK                                         ",58.108,-135.444,1,23.149,59.665,36.516,XL
9458964,"Hump Island, Kuiukta Bay,                                         ",56.113,-158.598,1,12.959,18.181,5.222,M
9450364,"Hydaburg, Sukkwan Strait,                                         ",55.202,-132.823,1,20.016,19.663,-0.353,L
9453472,"ICY BAY ENTRANCE, ZONING GAUGE A,                                 ",59.858,-141.663,0,,,,
9453471,"ICY BAY ENTRANCE, ZONING GAUGE B,                                 ",59.858,-141.655,0,,,,
9469626,"Ikpek Lagoon, AK                                                  ",65.893,-167.273,0,,,,
9462961,"ISANOTSKI STRAIT ENTRANCE, AK                                     ",54.778,-163.364,1,10.711,34.125,23.414,M
9457634,"Japanese Bay, Kodiak Island,                                      ",56.960,-153.687,1,12.698,10.04,-2.658,M
9453215,"JOHNSTONE PASSAGE,                                                ",59.582,-139.702,0,,,,
9452210,"Juneau, AK                                                        ",58.299,-134.411,1,25.096,23.759,-1.337,XL
9451528,"Kake Harbor, Keku Strait, AK                                      ",56.948,-133.895,1,22.172,43.026,20.854,XL
9455732,"KALIGAN ISLAND (NORTH END), COOK INLET,                           ",60.512,-151.952,1,29.833,21.485,-8.348,XL
9458365,"KANATAK LAGOON, PORTAGE BAY,                                      ",57.520,-156.052,0,,,,
9450581,"Kasaan Bay,                                                       ",55.535,-132.397,0,,,,
9455517,"Kasitsna Bay, Kachemak Bay,                                       ",59.468,-151.565,1,29.016,9.98,-19.036,XL
9468261,"Kavalghak Bay, AK, AK                                             ",63.683,-171.750,0,,,,
9450460,"Ketchikan, AK                                                     ",55.332,-131.626,1,23.688,25.856,2.168,XL
9453444,"Kichyatt Point,                                                   ",60.027,-141.367,0,,,,
9465953,"Kinak Bay, AK                                                     ",59.948,-164.211,0,,,,
9459881,"King Cove,                                                        ",55.060,-162.326,1,11.001,12.812,1.811,M
9454951,"KINGS BAY INSIDE, PRINCE WILLIAM SOUND,                           ",60.457,-148.665,0,,,,
9491247,"Kivalina Lagoon, AK                                               ",67.727,-164.532,0,,,,
9491253,"Kivalina, AK                                                      ",67.727,-164.592,1,1.428,5.057,3.629,S
9457292,"Kodiak Island, AK                                                 ",57.730,-152.514,1,13.622,36.524,22.902,M
9457283,"KODIAK, ST PAULS HARBOR,                                          ",57.745,-152.483,0,,,,
9490424,"Kotzebue, AK                                                      ",66.902,-162.582,1,1.005,4.289,3.284,S
9450913,"Kuiu Island, Affleck Canal,                                       ",56.037,-134.115,0,,,,
9458819,"KUJULIK BAY (NORTH SHORE),                                        ",56.613,-157.983,0,,,,
9465265,"KULUKAK POINT,                                                    ",58.840,-159.647,1,17.554,23.574,6.02,L
9458705,"KUMLIK ISLAND (BACKUP),                                           ",56.617,-157.492,0,,,,
9465911,"Kwigillinok, AK                                                   ",59.880,-163.166,0,,,,
9469982,"Lagoon at 165 West,                                               ",66.462,-165.055,0,,,,
9457724,"Larsen Bay, Kodiak Island, AK, AK                                 ",57.530,-153.990,1,21.677,16.677,-5,L
9454713,"Latouche,                                                         ",60.053,-147.907,0,,,,
9451422,"LECONTE BAY,                                                      ",56.788,-132.502,1,24.005,15.58,-8.425,XL
9452569,"LEMESURIER ISLAND (BACKUP),                                       ",58.313,-136.037,0,,,,
9465419,"LEVELOCK, KVICHAK RIVER,                                          ",59.113,-156.832,0,,,,
9452336,"LINCOLN ISLAND, FAVORITE CHANNEL,                                 ",58.498,-134.965,0,,,,
9450625,"Lindeman Cove,                                                    ",55.602,-132.512,1,24.843,31.906,7.063,XL
9469541,"Little Diomede Island, AK                                         ",65.757,-168.950,0,,,,
9466328,"Lomavik, AK                                                       ",60.554,-162.297,1,10.312,34.994,24.682,M
9454825,"LONG BAY ENTR, CULROSS PASSAGE,                                   ",60.692,-148.263,0,,,,
9469460,"Lopp Lagoon West,                                                 ",65.625,-168.025,0,,,,
9469338,"LOST RIVER, SEWARD PENINSULA,                                     ",65.390,-167.145,1,1.507,5.996,4.489,S
9454642,"LOUIS BAY,                                                        ",60.462,-147.672,0,,,,
9454674,"Macleod Harbor,                                                   ",59.890,-147.795,0,,,,
9451152,"Madan Bay,                                                        ",56.392,-132.169,1,24.988,16.478,-8.51,XL
9450753,"Magnetic Point, Union Bay, Earnest Sound, AK                      ",55.788,-132.191,1,24.284,12.239,-12.045,XL
9450466,"Mckenzie Inlet,                                                   ",55.358,-132.368,0,,,,
9466217,"Mekoryuk, Mekoryuk River Entrance, AK                             ",60.417,-166.167,1,11.255,62.954,51.699,M
9464075,"Meshik, Port Heiden, AK                                           ",56.908,-158.685,1,18.012,52.939,34.927,L
9450314,"Metlakatla, Port Chester, AK,                                     ",55.128,-131.567,1,22.915,28.614,5.699,XL
9459016,"Mitrofania Island,                                                ",55.890,-158.820,1,12.233,31.028,18.795,M
9454616,"Montague Island,                                                  ",60.025,-147.592,1,18.056,13.539,-4.517,L
9451247,"Monte Carlo Island,                                               ",56.535,-133.767,1,19.598,20.09,0.492,L
9455824,"MOOSE POINT,                                                      ",60.963,-150.673,0,,,,
9453443,"Moraine Bay,                                                      ",59.930,-141.363,0,,,,
9452584,"Muir Inlet, Glacier Bay,                                          ",58.913,-136.108,0,,,,
9457407,"Nachalni Island,                                                  ",57.978,-152.925,1,21.195,14.927,-6.268,L
9458779,"NAKCHAMIK ISLAND, CHIGNIK BAY,                                    ",56.352,-157.812,0,,,,
9465203,"Naknek, AK                                                        ",58.732,-156.983,0,,,,
9465283,"NE SIDE SUMMIT ISLAND, TOGIAK BAY A,                              ",58.847,-160.210,0,,,,
9457258,"NEAR ISLAND,                                                      ",57.775,-152.403,0,,,,
9466298,"Nelson Island, Tooksook Bay, AK                                   ",60.517,-165.133,1,13.39,38.353,24.963,M
9462948,"NEUMANS COVE, AK                                                  ",54.967,-163.440,1,7.185,5.929,-1.256,S
9455760,"Nikiski, AK                                                       ",60.683,-151.398,1,30.737,32.095,1.358,XL
9462450,"Nikolski, AK                                                      ",52.941,-168.871,1,6.807,9.345,2.538,S
9455653,"Ninilchik, Cook Inlet,                                            ",60.055,-151.682,1,30.481,12.506,-17.975,XL
9468756,"Nome, Norton Sound, AK                                            ",64.495,-165.440,1,2.655,5.804,3.149,S
9455869,"North Foreland,                                                   ",61.043,-151.163,1,30.181,35.003,4.822,XL
9452005,"North Shore Upper Endicott Arm,                                   ",57.522,-133.055,0,,,,
9468039,"Northeast Cape, St. Lawrence Island,                              ",63.317,-168.967,1,3.618,32.285,28.667,S
9450642,"Northern Carroll Inlet GPS Tide Buoy, AK                          ",55.629,-131.363,0,,,,
9455178,"Northwest Passage,                                                ",59.748,-149.900,0,,,,
9450711,"Nossuk Bay, AK                                                    ",55.722,-133.350,1,15.612,13.386,-2.226,L
9456717,"NUKSHAK ISLAND, SHELIKOF STRAIT,                                  ",58.392,-153.958,1,21.433,14.279,-7.154,L
9467551,"Nunam Iqua (Sheldon Point), AK                                    ",62.533,-164.845,1,4.178,31.614,27.436,S
9457527,"OLD HARBOR, KODIAK ISLAND, AK                                     ",57.203,-153.304,1,12.995,28.788,15.793,M
9497147,"OLIKTOK, BEAUFORT SEA, AK                                         ",70.512,-149.867,0,,,,
9452184,"OLIVER INLET, PORTAGE,                                            ",58.108,-134.310,0,,,,
9469515,"Outside Lopp Lagoon,                                              ",65.729,-168.032,0,,,,
9457287,"Ouzinkie, Spruce Island,                                          ",57.922,-152.498,1,13.749,10.912,-2.837,M
9451346,"Papke?s Landing,                                                  ",56.677,-132.933,1,24.915,31.929,7.014,XL
9452611,"Pelican Harbor, Lisianski Inlet, AK,                              ",57.958,-136.227,1,16.24,21.121,4.881,L
9454561,"Perch Point,                                                      ",60.127,-147.395,1,18.429,11.357,-7.072,L
9455427,"PERL ISLAND,                                                      ",59.130,-151.697,0,,,,
9454721,"PERRY ISLAND (SOUTH BAY),                                         ",60.672,-147.932,1,18.911,14.16,-4.751,L
9465396,"Platinum, AK, AK                                                  ",59.047,-161.818,1,12.392,47.552,35.16,M
9452516,"POINT ADOLPHUS,                                                   ",58.287,-135.803,0,,,,
9454814,"Point Erlington, Erlington Island,                                ",59.938,-148.227,1,16.406,12.912,-3.494,L
9451005,"POINT HARRINGTON, CLARENCE STRAIT,                                ",56.178,-132.697,1,24.58,17.736,-6.844,XL
9454671,"POINT HELEN, KNIGHT ISLAND,                                       ",60.153,-147.767,0,,,,
9491873,"Point Hope,                                                       ",68.342,-166.808,1,2.201,3.756,1.555,S
9453210,"POINT LATOUCHE, YAKUTAT BAY,                                      ",59.903,-139.627,0,,,,
9493300,"Point Lay, AK,                                                    ",69.745,-163.064,0,,,,
9451263,"Point Lockwood,                                                   ",56.558,-132.963,1,23.192,27.452,4.26,XL
9455866,"Point Possession,                                                 ",61.037,-150.413,1,37.178,32.108,-5.07,XL
9469237,"Point Spencer, Port Clarence,                                     ",65.257,-166.847,1,1.617,6.07,4.453,S
9450467,"Polk Inlet,                                                       ",55.358,-132.485,0,,,,
9458471,"Poltava Island,                                                   ",57.013,-156.483,0,,,,
9466057,"Popokamute (Kokokamute), Kuskokwim River, AK                      ",60.123,-162.500,1,14.9,34.221,19.321,L
9451054,"Port Alexander,                                                   ",56.247,-134.648,1,16.881,17.618,0.737,L
9454673,"PORT AUDREY,                                                      ",60.343,-147.768,0,,,,
9454511,"Port Chalmers,                                                    ",60.242,-147.249,0,,,,
9455428,"PORT CHATHAM,                                                     ",59.213,-151.728,0,,,,
9455437,"Port Graham,                                                      ",59.350,-151.827,0,,,,
9452542,"Port Gustavus,                                                    ",58.382,-135.918,0,,,,
9457391,"Port Lions, AK, AK                                                ",57.873,-152.867,1,14.725,33.882,19.157,M
9455934,"Port Mackenzie,                                                   ",61.268,-149.917,1,41.317,43.002,1.685,XL
9463502,"Port Moller,                                                      ",55.986,-160.574,1,15.439,42.071,26.632,L
9457261,"PORT OF KODIAK,                                                   ",57.783,-152.428,0,,,,
9465056,"PROTECTION POINT, NUSHAGAK BAY,                                   ",58.500,-158.712,1,25.365,27.439,2.074,XL
9451936,"Provorotni Island,                                                ",57.515,-135.600,1,22.906,17.752,-5.154,XL
9497649,"PRUDHOE BAY #2, AK                                                ",70.388,-148.510,0,,,,
9497645,"Prudhoe Bay,                                                      ",70.411,-148.532,1,1.835,37.166,35.331,S
9454729,"PT. PERRY, PERRY ISLAND,                                          ",60.753,-147.958,0,,,,
9458209,"Puale Bay,                                                        ",57.707,-155.393,1,19.34,18.191,-1.149,L
9465123,"PYRITE POINT, BRISTOL BAY,                                        ",58.620,-161.542,0,,,,
9465831,"Quinhagak (Kwinak), Kushkokwin River, AK                          ",59.751,-161.915,1,16.368,56.11,39.742,L
9450815,"Ratz Harbor,                                                      ",55.880,-132.595,0,,,,
9451467,"Red Bluff Bay, Baranof Island, AK                                 ",56.857,-134.723,1,19.786,27.647,7.861,L
9491094,"Red Dog Dock,                                                     ",67.576,-164.064,1,2.091,6.848,4.757,S
9453208,"REDFIELD COVE, YAKUTAT BAY,                                       ",59.612,-139.580,0,,,,
9462662,"Reef Bight,                                                       ",54.131,-166.099,1,5.713,152.656,146.943,S
9451124,"REEF POINT, STIKINE STRAIT,                                       ",56.353,-132.553,1,24.36,14.531,-9.829,XL
9453456,"Riou Bay,                                                         ",59.885,-141.457,0,,,,
9454363,"ROCKY PT, T-17,                                                   ",60.947,-146.755,0,,,,
9462723,"Rootok Island, AK                                                 ",54.052,-165.514,1,8.432,25.144,16.712,M
9450651,"Rudyerd Bay,                                                      ",55.642,-130.645,0,,,,
9453178,"RUSSELL FIORD,                                                    ",59.975,-139.407,0,,,,
9451497,"Saginaw Bay, Kuiu Island,                                         ",56.903,-134.303,1,20.914,24.52,3.606,L
9450495,"Saltery Cove,                                                     ",55.402,-132.328,0,,,,
9459450,"Sand Point, AK                                                    ",55.332,-160.504,1,11.866,39.92,28.054,M
9468258,"Savoonga, AK                                                      ",63.679,-170.537,1,3.751,12.935,9.184,S
9452022,"Sawyer Island, Tracy Arm, Holkham Bay,                            ",57.878,-133.190,0,,,,
9462808,"Scotch Cap, Unimak Island, AK, AK                                 ",54.394,-164.746,1,10.026,10.491,0.465,M
9451805,"Scraggy Island,                                                   ",57.340,-135.707,1,15.542,12.589,-2.953,L
9462786,"SE Tigalda Island, Pacific Ocean, AK                              ",54.102,-164.942,1,8.741,28.501,19.76,M
9454564,"SEAL ISLAND,                                                      ",60.425,-147.410,1,18.513,14.038,-4.475,L
9451454,"Security Bay GPS Buoy, AK                                         ",56.838,-134.327,0,,,,
9455500,"Seldovia, AK                                                      ",59.440,-151.720,1,28.662,29.941,1.279,XL
9451853,"Sergius Narrows,                                                  ",57.410,-135.627,1,19.876,14.197,-5.679,L
9455090,"Seward, AK                                                        ",60.120,-149.427,1,16.916,19.932,3.016,L
9450982,"SHAKAN BAY ENTRANCE,                                              ",56.140,-133.610,0,,,,
9450987,"SHAKAN STRAIT (NORTHEAST END),                                    ",56.148,-133.460,0,,,,
9468691,"Shaktoolik, AK                                                    ",64.380,-161.235,1,6.82,27.415,20.595,S
9450618,"Shinaku Inlet, AK                                                 ",55.593,-133.152,0,,,,
9469854,"Shishmaref Inlet 2,                                               ",66.263,-166.020,1,1.655,4.876,3.221,S
9469804,"Shishmaref Inlet Inside, AK                                       ",66.170,-166.207,0,,,,
9451600,"Sitka, AK                                                         ",57.052,-135.342,1,15.477,17.162,1.685,L
9457512,"Sitkalidak Island GPS Tide Buoy, AK                               ",56.966,-153.252,0,,,,
9452400,"Skagway, Taiya Inlet, AK                                          ",59.451,-135.328,1,25.542,22.89,-2.652,XL
9454533,"SMITH IS, NE END,                                                 ",60.532,-147.343,0,,,,
9465374,"Snag Point, Dillingham,                                           ",59.040,-158.447,1,27.063,64.828,37.765,XL
9456173,"SNUG HARBOR,                                                      ",60.107,-152.582,0,,,,
9454662,"Snug Harbor,                                                      ",60.250,-147.717,1,18.165,10.97,-7.195,L
9454652,"SOUTH ARM, KNIGHT ISLAND, BAY OF ISLES,                           ",60.367,-147.700,1,18.756,11.586,-7.17,L
9454952,"SOUTHERN BLACKSTON BAY (INSIDE),                                  ",60.683,-148.673,0,,,,
9452377,"St. James Bay,                                                    ",58.615,-135.163,0,,,,
9450578,"Steamboat Bay,                                                    ",55.533,-133.637,0,,,,
9468151,"STEBBINS, NORTON SOUND, EAST,                                     ",63.525,-162.293,0,,,,
9497646,"STP (INSIDE), PRUDHOE BAY, AK                                     ",70.400,-148.527,0,,,,
9462711,"Surf Bay, Akutan Bay, AK                                          ",54.151,-165.615,1,6.418,61.647,55.229,S
9457493,"SW Terror Bay, AK                                                 ",57.744,-153.195,1,22.506,16.588,-5.918,XL
9452368,"SWANSON HARBOR,                                                   ",58.215,-135.127,0,,,,
9452434,"TAIYASANKA HARBOR, AK                                             ",59.302,-135.428,0,,,,
9456993,"TAKLI ISLAND, GAGE B,                                             ",58.063,-154.477,0,,,,
9456992,"TAKLI ISLAND, SHELIKOF STRAIT,                                    ",58.063,-154.477,0,,,,
